tweet_id,timestamp,source,rating_numerator,rating_denominator,name,dogtionary,full_text,display_text_range,retweet_count,favorite_count,lang,url,jpg_url,p1,p1_conf
892420643555336193,2017-08-01 16:23:56,iphone,13,10,Phineas,other,This is Phineas. He's a mystical boy. Only ever appears in the hole of a donut. 13/10,85,8853,39467,en,https://t.co/MgUWQ76dJU,,,
892177421306343426,2017-08-01 00:17:27,iphone,13,10,Tilly,other,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10",138,6514,33819,en,https://t.co/0Xxu71qeIV,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,chihuahua,0.323581
891815181378084864,2017-07-31 00:18:03,iphone,12,10,Archie,other,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10,121,4328,25461,en,https://t.co/wUnZnhtVJB,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,chihuahua,0.716012
891689557279858688,2017-07-30 15:58:51,iphone,13,10,Darla,other,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us,79,8964,42908,en,https://t.co/tD36da7qLQ,,,
891327558926688256,2017-07-29 16:00:24,iphone,12,10,Franklin,other,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10 #BarkWeek",138,9774,41048,en,https://t.co/AtUZn91f7f,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,basset,0.555712
891087950875897856,2017-07-29 00:08:17,iphone,13,10,,other,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo) #BarkWeek,138,3261,20562,en,https://t.co/kQ04fDDRmh,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,chesapeake_bay_retriever,0.425595
890971913173991426,2017-07-28 16:27:12,iphone,13,10,Jax,other,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

https://t.co/Zr4hWfAs1H",140,2158,12041,en,https://t.co/tVJBRMnhxl,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,appenzeller,0.341703
890729181411237888,2017-07-28 00:22:40,iphone,13,10,,other,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10,118,16716,56848,en,https://t.co/v0nONBcwxq,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,pomeranian,0.566142
890609185150312448,2017-07-27 16:25:51,iphone,13,10,Zoey,other,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10 #BarkWeek,122,4429,28226,en,https://t.co/9TwLuAGH0b,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,irish_terrier,0.4875739999999999
890240255349198849,2017-07-26 15:59:51,iphone,14,10,Cassie,doggo,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate,133,7711,32467,en,https://t.co/t1bfwz5S2A,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,pembroke,0.511319
890006608113172480,2017-07-26 00:31:25,iphone,13,10,Koda,other,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting #BarkWeek,130,7624,31166,en,https://t.co/dVPW0B0Mme,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,samoyed,0.957979
889880896479866881,2017-07-25 16:11:53,iphone,13,10,Bruno,other,This is Bruno. He is a service shark. Only gets out of the water to assist you. 13/10 terrifyingly good boy,107,5156,28268,en,https://t.co/u1XPQMl29g,https://pbs.twimg.com/media/DFl99B1WsAITKsg.jpg,french_bulldog,0.377417
889665388333682689,2017-07-25 01:55:32,iphone,13,10,,puppo,Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10,106,8538,38818,en,https://t.co/BxvuXk0UCm,https://pbs.twimg.com/media/DFi579UWsAAatzw.jpg,pembroke,0.966327
889638837579907072,2017-07-25 00:10:02,iphone,12,10,Ted,other,This is Ted. He does his best. Sometimes that's not enough. But it's ok. 12/10 would assist,91,4735,27672,en,https://t.co/f8dEDcrKSR,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,french_bulldog,0.99165
889531135344209921,2017-07-24 17:02:04,iphone,13,10,Stuart,puppo,This is Stuart. He's sporting his favorite fanny pack. Secretly filled with bones only. 13/10 puppared puppo #BarkWeek,118,2321,15359,en,https://t.co/y70o6h3isq,https://pbs.twimg.com/media/DFg_2PVW0AEHN3p.jpg,golden_retriever,0.953442
889278841981685760,2017-07-24 00:19:32,iphone,13,10,Oliver,other,This is Oliver. You're witnessing one of his many brutal attacks. Seems to be playing with his victim. 13/10 fr*ckin frightening #BarkWeek,138,5637,25652,en,https://t.co/WpHvrQedPb,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,whippet,0.626152
888917238123831296,2017-07-23 00:22:39,iphone,12,10,Jim,other,This is Jim. He found a fren. Taught him how to sit like the good boys. 12/10 for both,86,4709,29611,en,https://t.co/chxruIOUJN,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,golden_retriever,0.714719
888804989199671297,2017-07-22 16:56:37,iphone,13,10,Zeke,other,This is Zeke. He has a new stick. Very proud of it. Would like you to throw it for him without taking it. 13/10 would do my best,128,4559,26080,en,https://t.co/HTQ77yNQ5K,https://pbs.twimg.com/media/DFWra-3VYAA2piG.jpg,golden_retriever,0.46976
888554962724278272,2017-07-22 00:23:06,iphone,13,10,Ralphus,other,This is Ralphus. He's powering up. Attempting maximum borkdrive. 13/10 inspirational af,87,3732,20290,en,https://t.co/YnYAFCTTiK,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,siberian_husky,0.700377
888078434458587136,2017-07-20 16:49:33,iphone,12,10,Gerald,other,This is Gerald. He was just told he didn't get the job he interviewed for. A h*ckin injustice. 12/10 didn't want the job anyway,127,3653,22201,en,https://t.co/DK7iDPfuRX,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,french_bulldog,0.995026
887705289381826560,2017-07-19 16:06:48,iphone,13,10,Jeffrey,other,This is Jeffrey. He has a monopoly on the pool noodles. Currently running a 'boop for two' midweek sale. 13/10 h*ckin strategic,127,5609,30779,en,https://t.co/PhrUk20Q64,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,basset,0.821664
887517139158093824,2017-07-19 03:39:09,iphone,14,10,such,other,I've yet to rate a Venezuelan Hover Wiener. This is such an honor. 14/10 paw-inspiring af (IG: roxy.thedoxy),108,12082,46959,en,https://t.co/20VrLAA8ba,,,
887473957103951883,2017-07-19 00:47:34,iphone,13,10,Canela,other,This is Canela. She attempted some fancy porch pics. They were unsuccessful. 13/10 someone help her,99,18781,69871,en,https://t.co/cLyzpcUcMX,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,pembroke,0.809197
887343217045368832,2017-07-18 16:08:03,iphone,13,10,,other,You may not have known you needed to see this today. 13/10 please enjoy (IG: emmylouroo),88,10737,34222,en,https://t.co/WZqNqygEyV,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,mexican_hairless,0.330741
887101392804085760,2017-07-18 00:07:08,iphone,12,10,,other,This... is a Jubilant Antarctic House Bear. We only rate dogs. Please only send dogs. Thank you... 12/10 would suffocate in floof,129,6167,31061,en,https://t.co/4Ad1jzJSdp,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,samoyed,0.733942
886983233522544640,2017-07-17 16:17:36,iphone,13,10,Maya,other,This is Maya. She's very shy. Rarely leaves her cup. 13/10 would find her an environment to thrive in,101,8084,35859,en,https://t.co/I6oNy0CgiT,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,chihuahua,0.793469
886736880519319552,2017-07-16 23:58:41,iphone,13,10,Mingus,other,"This is Mingus. He's a wonderful father to his smol pup. Confirmed 13/10, but he needs your help

https://t.co/bVi0Yr4Cff",121,3443,12306,en,https://t.co/ISvKOSkd5b,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,kuvasz,0.309706
886680336477933568,2017-07-16 20:14:00,iphone,13,10,Derek,other,This is Derek. He's late for a dog meeting. 13/10 pet...al to the metal,71,4610,22798,en,https://t.co/BCoWue0abA,,,
